Symbol,Name,Currency
AAB,Aberdeen International Inc,CAD
AAUC,Allied Gold Corporation,CAD
AAV,Advantage Oil & Gas Ltd,CAD
ABCT,ABC Technologies Holdings Inc.,CAD
ABX,Barrick Gold Corp,CAD
AC,Air Canada,CAD
ACB,Aurora Cannabis Inc,CAD
ACD,Accord Financial Corp,CAD
ACO.X,Atco Ltd-Canada,CAD
ACO.Y,Atco Ltd-Canada,CAD
ACQ,AutoCanada Inc,CAD
ADCO,Adcore Inc.,CAD
ADEN,ADENTRA Inc.,CAD
ADN,Acadian Timber Corp,CAD
AD.UN,Alaris Equity Partners Income Trust,CAD
ADW.A,Andrew Peller Ltd,CAD
ADW.B,Andrew Peller Ltd,CAD
AEG,Aegis Brands Inc.,CAD
AEM,Agnico Eagle Mines Ltd,CAD
AEZS,Aeterna Zentaris Inc,CAD
AFN,Ag Growth International Inc,CAD
AGF.B,AGF Management Ltd,CAD
AGI,Alamos Gold Inc,CAD
AGRI.U,Agrinam Acquisition Corporation,USD
AH,Aleafia Health Inc.,CAD
AI,Atrium Mortgage Investment Corp,CAD
AI.DBG,S&P SmallCap 600 GARP Index ,CAD
AIDX,Healwell AI Inc,CAD
AIF,Altus Group Ltd-Canada,CAD
AII,Almonty Industries Inc,CAD
AIM,Aimia Inc,CAD
AIM.PR.A,Aimia Inc,CAD
AIM.PR.C,Aimia Inc,CAD
AKE,Allkem Limited,CAD
AKT.A,AKITA Drilling Ltd,CAD
AKT.B,AKITA Drilling Ltd,CAD
AKU,Akumin Inc.,CAD
ALA,AltaGas Ltd,CAD
ALA.PR.A,AltaGas Ltd,CAD
ALA.PR.B,AltaGas Ltd,CAD
ALA.PR.E,AltaGas Ltd,CAD
ALA.PR.G,AltaGas Ltd,CAD
ALA.PR.H,AltaGas Ltd.,CAD
ALA.PR.U,AltaGas Ltd,USD
ALB.PR.C,Allbanc Split Corp II,CAD
ALC,Algoma Central Corp,CAD
ALS,Altius Minerals Corp,CAD
ALYA,Alithya Group Inc,CAD
AMC,Arizona Metals Corp.,CAD
AMM,Almaden Minerals Ltd,CAD
AND,Andlauer Healthcare Group Inc,CAD
ANRG,Anaergia Inc.,CAD
AOI,Africa Oil Corp,CAD
AOT,Ascot Resources Ltd,CAD
APLI,Appili Therapeutics Inc.,CAD
APR.UN,AUTOMOTIVE PROPERTIES REAL E,CAD
APS,Aptose Biosciences Inc,CAD
AP.UN,Allied Properties Real Estate Investment Trust,CAD
AQN,Algonquin Power & Utilities Corp,CAD
AQN.PR.A,Algonquin Power & Utilities Corp,CAD
AQN.PR.D,Algonquin Power & Utilities Corp,CAD
AR,Argonaut Gold Inc,CAD
ARA,Aclara Resources Inc.,CAD
ARE,Aecon Group Inc,CAD
ARG,Amerigo Resources Ltd,CAD
ARIS,Aris Gold Corporation,CAD
ARR,Altius Renewable Royalties Corp.,CAD
ARX,ARC Resources Ltd,CAD
ASCU,Arizona Sonoran Copper Company Inc.,CAD
ASM,Avino Silver & Gold Mines Ltd,CAD
ASND,Ascendant Resources Inc,CAD
ASTL,Algoma Steel Group Inc.,CAD
ASTL.WT,Algoma Steel Group Inc,CAD
ATCU,Alta Copper Corp,CAD
ATD,Alimentation Couche-Tard Inc.,CAD
ATE,Antibe Therapeutics Inc.,CAD
ATH,Athabasca Oil Corp,CAD
ATRL,SNC-Lavalin Group Inc,CAD
ATS,ATS Corporation,CAD
ATZ,Aritzia Inc,CAD
AUMN,Golden Minerals Co,CAD
AVCN,Avicanna Inc,CAD
AVL,Avalon Advanced Materials Inc,CAD
AVNT,Avant Brands Inc.,CAD
AVNT.WT,Avant Brands Inc,CAD
AW.UN,A&W Revenue Royalties Income Fund,CAD
AXIS,Axis Auto Finance Inc.,CAD
AX.PR.E,Artis Real Estate Investment Trust,CAD
AX.PR.I,Artis Real Estate Investment Trust,CAD
AX.UN,Artis Real Estate Investment Trust,CAD
AYA,Aya Gold & Silver Inc.,CAD
BABY,Else Nutrition Holdings Inc.,CAD
BAM,Brookfield Asset Management Ltd.,CAD
BB,BlackBerry Ltd,CAD
BBD.A,Bombardier Inc,CAD
BBD.B,Bombardier Inc,CAD
BBD.PR.B,Bombardier Inc,CAD
BBD.PR.C,Bombardier Inc,CAD
BBD.PR.D,Bombardier Inc,CAD
BBTV,BBTV Holdings Inc.,CAD
BBUC,Brookfield Business Corporation,CAD
BBU.UN,Brookfield Business Partners LP,CAD
BCE,BCE Inc,CAD
BCE.PR.A,BCE Inc,CAD
BCE.PR.B,BCE Inc,CAD
BCE.PR.C,BCE Inc,CAD
BCE.PR.D,BCE Inc,CAD
BCE.PR.E,BCE Inc,CAD
BCE.PR.F,BCE Inc,CAD
BCE.PR.G,BCE Inc,CAD
BCE.PR.H,BCE Inc,CAD
BCE.PR.I,BCE Inc,CAD
BCE.PR.J,BCE Inc,CAD
BCE.PR.K,BCE Inc,CAD
BCE.PR.L,BCE Inc,CAD
BCE.PR.M,BCE Inc,CAD
BCE.PR.N,BCE Inc,CAD
BCE.PR.Q,BCE Inc,CAD
BCE.PR.R,BCE Inc,CAD
BCE.PR.S,BCE Inc,CAD
BCE.PR.T,BCE Inc,CAD
BCE.PR.Y,BCE Inc,CAD
BCE.PR.Z,BCE Inc,CAD
BCT,BriaCell Therapeutics Corp.,CAD
BDGI,Badger Infrastructure Solutions Ltd.,CAD
BDI,Black Diamond Group Ltd,CAD
BDT,Bird Construction Inc,CAD
BEI.UN,Boardwalk Real Estate Investment Trust,CAD
BEK.B,Becker Milk Co Ltd-The,CAD
BEPC,Brookfield Renewable Corporation,CAD
BEP.PR.G,Brookfield Renewable Partners LP,CAD
BEP.PR.K,Brookfield Renewable Partners LP,CAD
BEP.PR.M,Brookfield Renewable Partners LP,CAD
BEP.PR.O,Brookfield Renewable Partners LP,CAD
BEP.PR.R,Brookfield Renewable Partners L.P.,CAD
BEP.UN,Brookfield Renewable Partners LP,CAD
BHC,Bausch Health Cos Inc,CAD
BIK.PR.A,BIP Investment Corp,CAD
BIPC,Brookfield Infrastructure Corp,CAD
BIP.PR.A,Brookfield Infrastructure Partners LP,CAD
BIP.PR.B,Brookfield Infrastructure Partners LP,CAD
BIP.PR.E,Brookfield Infrastructure Partners LP,CAD
BIP.PR.F,Brookfield Infrastructure Partners LP,CAD
BIP.UN,Brookfield Infrastructure Partners LP,CAD
BIR,Birchcliff Energy Ltd,CAD
BIR.PR.A,Birchcliff Energy Ltd,CAD
BITC.U,Bitcoin Trust,USD
BITF,Bitfarms Ltd-Canada,CAD
BKCC,Horizons Equal Weight Canadian Bank Covered Call ETF,CAD
BKCL,Horizons Enhanced Equal Weight Canadian Banks Covered Call ETF,CAD
BKI,Black Iron Inc,CAD
BK.PR.A,Canadian Banc Corp,CAD
BLCO,Bausch + Lomb Corporation,CAD
BLDP,Ballard Power Systems Inc,CAD
BLN,Blackline Safety Corp.,CAD
BLX,Boralex Inc,CAD
BMO,Bank of Montreal,CAD
